"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\RevenueForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\RobotForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\StationForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\UserForm.vue", "Vue", 79, 0, 0, 0, 0, 1, 9, 89
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinButton.vue", "Vue", 74, 0, 0, 0, 0, 0, 4, 78
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinPicture.vue", "Vue", 230, 0, 0, 0, 0, 0, 27, 257
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\main.js", "JavaScript", 0, 35, 0, 0, 0, 11, 8, 54
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\router\index.js", "JavaScript", 0, 184, 0, 0, 0, 5, 4, 193
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\store\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\styles\blockstyles.css", "CSS", 0, 0, 239, 0, 0, 8, 7, 254
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\styles\filterstyle.css", "CSS", 0, 0, 74, 0, 0, 0, 0, 74
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\utils\request.js", "JavaScript", 0, 39, 0, 0, 0, 3, 4, 46
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\AboutView.vue", "Vue", 82, 0, 0, 0, 0, 2, 6, 90
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\HomeView.vue", "Vue", 82, 0, 0, 0, 0, 0, 0, 82
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AboutUsView.vue", "Vue", 21, 0, 0, 0, 0, 0, 2, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AddMarketingActivity.vue", "Vue", 439, 0, 0, 0, 0, 28, 26, 493
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\DashBoardView.vue", "Vue", 203, 0, 0, 0, 0, 4, 4, 211
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\FinanceManagementView.vue", "Vue", 188, 0, 0, 0, 0, 9, 5, 202
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\FinanceStatisticsView.vue", "Vue", 141, 0, 0, 0, 0, 0, 3, 144
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\HistoryOrderManagementView.vue", "Vue", 191, 0, 0, 0, 0, 24, 6, 221
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\MarketingManagementVIew.vue", "Vue", 407, 0, 0, 0, 0, 6, 17, 430
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\OrderDetailedInformationView.vue", "Vue", 21, 0, 0, 0, 0, 0, 2, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\OrderManagementView.vue", "Vue", 181, 0, 0, 0, 0, 10, 5, 196
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\PersonalInformationEditionView.vue", "Vue", 634, 0, 0, 0, 0, 38, 40, 712
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotMaintenanceView.vue", "Vue", 266, 0, 0, 0, 0, 5, 2, 273
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotManagementView.vue", "Vue", 248, 0, 0, 0, 0, 25, 6, 279
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotPartsWarehouseView.vue", "Vue", 668, 0, 0, 0, 0, 25, 32, 725
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotRealTimeRouteView.vue", "Vue", 57, 0, 0, 0, 0, 0, 2, 59
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotRealTimeStateView.vue", "Vue", 268, 0, 0, 0, 0, 7, 13, 288
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationContainerManagementView.vue", "Vue", 619, 0, 0, 0, 0, 11, 11, 641
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationDistributionView.vue", "Vue", 345, 0, 0, 0, 0, 41, 7, 393
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationManagementView.vue", "Vue", 226, 0, 0, 0, 0, 14, 6, 246
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserDetailedInformationView.vue", "Vue", 457, 0, 0, 0, 0, 28, 4, 489
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserManagementView.vue", "Vue", 271, 0, 0, 0, 0, 23, 5, 299
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserRegisterView.vue", "Vue", 21, 0, 0, 0, 0, 0, 2, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserStatisticsView.vue", "Vue", 121, 0, 0, 0, 0, 0, 1, 122
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\layout\AdminLayoutView.vue", "Vue", 393, 0, 0, 0, 0, 14, 14, 421
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\login\LoginView.vue", "Vue", 193, 0, 0, 0, 0, 10, 7, 210
"Total", "-", 9531, 838, 1406, 1493, 4411, 445, 1438, 19562
